"Transaction
Date","Transaction
Type",,,,,,,,,
09-Nov-10,Buy,CITYBANK,A,5,866.00,"4,330.00",21.65,"4,351.65",0.00,"-4,351.65"
10-Nov-10,Receive,CH-#-000,,0,0.00,0.00,0.00,0.00,"50,000.00","45,648.35"
11-Nov-10,Buy,CITYBANK,A,45,925.25,"41,636.25",208.18,"41,844.43",0.00,"3,803.92"
05-Dec-10,Buy,ABBANK,A,30,"1,708.00","51,240.00",256.20,"51,496.20",0.00,"-47,692.28"
05-Dec-10,Sale,CITYBANK,A,50,997.75,"49,887.50",249.44,0.00,"49,638.06","1,945.78"
07-Dec-10,Buy,CITYBANK,A,5,"1,045.75","5,228.75",26.14,"5,254.89",0.00,"-3,309.11"
07-Dec-10,Buy,SPCERAMICS,A,700,117.00,"81,900.00",409.50,"82,309.50",0.00,"-85,618.61"
07-Dec-10,Sale,QSMDRYCELL,A,500,181.40,"90,700.00",453.50,0.00,"90,246.50","4,627.89"
08-Dec-10,Buy,SPCERAMICS,A,300,117.60,"35,280.00",176.40,"35,456.40",0.00,"-30,828.51"
08-Dec-10,Sale,CMCKAMAL,A,4000,207.47,"829,880.00","4,149.40",0.00,"825,730.60","794,902.09"
08-Dec-10,Sale,QSMDRYCELL,A,500,172.80,"86,400.00",432.00,0.00,"85,968.00","880,870.09"
09-Dec-10,Buy,SPCERAMICS,A,700,124.49,"87,140.00",435.70,"87,575.70",0.00,"793,294.39"
09-Dec-10,Buy,SQURPHARMA,A,4,"3,687.00","14,748.00",73.74,"14,821.74",0.00,"778,472.65"
09-Dec-10,Receive,CH-#-000,,0,0.00,0.00,0.00,0.00,"25,000.00","803,472.65"
13-Dec-10,Payment,CH-#-3670109,,0,0.00,0.00,0.00,"750,000.00",0.00,"53,472.65"
11-Jan-11,Sale,SQURPHARMA,A,1,"3,333.00","3,333.00",16.67,0.00,"3,316.34","56,788.98"
16-Jan-11,Buy,UCBL,,250,220.00,"55,000.00",275.00,"55,275.00",0.00,"1,513.98"
25-Jan-11,Receive,CH-#-000,,0,0.00,0.00,0.00,0.00,"100,000.00","101,513.98"
25-Jan-11,Sale,AIMS1STMF,A,10000,9.04,"90,400.00",452.00,0.00,"89,948.00","191,461.98"
26-Jan-11,Buy,SPCERAMICS,A,1000,93.95,"93,950.00",469.75,"94,419.75",0.00,"97,042.23"
30-Jan-11,Buy,SAPORTL,A,1000,164.62,"164,620.00",823.10,"165,443.10",0.00,"-68,400.87"
30-Jan-11,Sale,UCBL,,2000,226.21,"452,425.00","2,262.13",0.00,"450,162.88","381,762.01"
31-Jan-11,Buy,CMCKAMAL,A,1000,239.00,"239,000.00","1,195.00","240,195.00",0.00,"141,567.01"
31-Jan-11,Sale,SPCERAMICS,A,1000,98.50,"98,500.00",492.50,0.00,"98,007.50","239,574.51"
08-Feb-11,Sale,AIMS1STMF,A,2500,7.86,"19,650.00",98.25,0.00,"19,551.75","259,126.26"
13-Feb-11,Buy,UCBL,,400,172.90,"69,160.00",345.80,"69,505.80",0.00,"189,620.46"
13-Feb-11,Payment,CH-#-3658054,,0,0.00,0.00,0.00,"20,000.00",0.00,"169,620.46"
20-Feb-11,Buy,CMCKAMAL,A,1000,122.10,"122,100.00",610.50,"122,710.50",0.00,"46,909.96"
22-Feb-11,Payment,CH-#-3657943,,0,0.00,0.00,0.00,"10,000.00",0.00,"36,909.96"
23-Feb-11,Sale,SAPORTL,A,300,108.20,"32,460.00",162.30,0.00,"32,297.70","69,207.66"
23-Feb-11,Sale,UCBL,,400,89.40,"35,760.00",178.80,0.00,"35,581.20","104,788.86"
07-Mar-11,Payment,CH-#-3885984,,0,0.00,0.00,0.00,"100,000.00",0.00,"4,788.86"
21-Mar-11,Buy,MAKSONSPIN,A,1000,57.90,"57,900.00",289.50,"58,189.50",0.00,"-53,400.64"
21-Mar-11,Sale,CMCKAMAL,A,500,90.80,"45,400.00",227.00,0.00,"45,173.00","-8,227.64"
