"Transaction
Date","Transaction
Type",,,,,,,,,
01-Aug-10,Receive,CH-#-000,,0,0.00,0.00,0.00,0.00,"60,000.00","60,000.00"
08-Aug-10,Buy,SPCERAMICS,A,200,68.10,"13,620.00",68.10,"13,688.10",0.00,"46,311.90"
11-Aug-10,Buy,ONEBANKLTD,A,50,708.00,"35,400.00",177.00,"35,577.00",0.00,"10,734.90"
12-Aug-10,Sale,SPCERAMICS,A,200,76.70,"15,340.00",76.70,0.00,"15,263.30","25,998.20"
22-Aug-10,Buy,PUBALIBANK,A,20,700.25,"14,005.00",70.03,"14,075.03",0.00,"11,923.18"
23-Aug-10,Buy,PUBALIBANK,A,10,690.00,"6,900.00",34.50,"6,934.50",0.00,"4,988.68"
25-Aug-10,Receive,CH-#-000,,0,0.00,0.00,0.00,0.00,"15,000.00","19,988.68"
26-Aug-10,Buy,BEXTEX,A,200,84.20,"16,840.00",84.20,"16,924.20",0.00,"3,064.48"
26-Aug-10,Buy,PRIMEINSUR,A,50,762.50,"38,125.00",190.63,"38,315.63",0.00,"-35,251.15"
26-Aug-10,Buy,REPUBLIC,A,50,614.00,"30,700.00",153.50,"30,853.50",0.00,"-66,104.65"
26-Aug-10,Receive,CH-#-000,,0,0.00,0.00,0.00,0.00,"16,000.00","-50,104.65"
26-Aug-10,Sale,ONEBANKLTD,A,50,690.25,"34,512.50",172.56,0.00,"34,339.94","-15,764.71"
26-Aug-10,Sale,PUBALIBANK,A,30,694.75,"20,842.50",104.21,0.00,"20,738.29","4,973.58"
06-Oct-10,Receive,CH-#-000,,0,0.00,0.00,0.00,0.00,"20,000.00","24,973.58"
06-Oct-10,Sale,PRIMEINSUR,A,50,950.00,"47,500.00",237.50,0.00,"47,262.50","72,236.08"
06-Oct-10,Sale,REPUBLIC,A,50,795.00,"39,750.00",198.75,0.00,"39,551.25","111,787.33"
07-Oct-10,Buy,BEXTEX,A,200,83.70,"16,740.00",83.70,"16,823.70",0.00,"94,963.63"
07-Oct-10,Receive,CH-#-000,,0,0.00,0.00,0.00,0.00,"15,000.00","109,963.63"
11-Oct-10,Buy,ONEBANKLTD,A,50,765.50,"38,275.00",191.38,"38,466.38",0.00,"71,497.25"
12-Oct-10,Buy,BEXIMCO,A,100,317.00,"31,700.00",158.50,"31,858.50",0.00,"39,638.75"
12-Oct-10,Buy,PREMIERBAN,A,500,62.60,"31,300.00",156.50,"31,456.50",0.00,"8,182.25"
18-Oct-10,Buy,SUMITPOWER,A,100,164.80,"16,480.00",82.40,"16,562.40",0.00,"-8,380.15"
19-Oct-10,Receive,CH-#-000,,0,0.00,0.00,0.00,0.00,"11,000.00","2,619.85"
26-Oct-10,Sale,ONEBANKLTD,A,50,863.00,"43,150.00",215.75,0.00,"42,934.25","45,554.10"
27-Oct-10,Buy,EXIMBANK,A,200,61.00,"12,200.00",61.00,"12,261.00",0.00,"33,293.10"
27-Oct-10,Buy,PREMIERBAN,A,500,58.50,"29,250.00",146.25,"29,396.25",0.00,"3,896.85"
08-Nov-10,Receive,CH-#-000,,0,0.00,0.00,0.00,0.00,"7,000.00","10,896.85"
10-Nov-10,Buy,SUMITPOWER,A,100,151.10,"15,110.00",75.55,"15,185.55",0.00,"-4,288.70"
10-Nov-10,Receive,CH-#-000,,0,0.00,0.00,0.00,0.00,"40,000.00","35,711.30"
11-Nov-10,Buy,DHAKABANK,A,200,82.90,"16,580.00",82.90,"16,662.90",0.00,"19,048.40"
11-Nov-10,Sale,BEXTEX,A,200,83.10,"16,620.00",83.10,0.00,"16,536.90","35,585.30"
22-Nov-10,Buy,STANDBANKL,A,50,558.75,"27,937.50",139.69,"28,077.19",0.00,"7,508.11"
23-Nov-10,Buy,PHENIXINS,A,20,"1,542.00","30,840.00",154.20,"30,994.20",0.00,"-23,486.09"
23-Nov-10,Sale,BEXTEX,A,200,86.10,"17,220.00",86.10,0.00,"17,133.90","-6,352.19"
24-Nov-10,Receive,CH-#-000,,0,0.00,0.00,0.00,0.00,"10,000.00","3,647.81"
25-Nov-10,Sale,PREMIERBAN,A,500,71.50,"35,750.00",178.75,0.00,"35,571.25","39,219.06"
30-Nov-10,Buy,NCCBANK,A,500,77.90,"38,950.00",194.75,"39,144.75",0.00,74.31
07-Dec-10,Buy,PHENIXINS,A,20,"1,572.00","31,440.00",157.20,"31,597.20",0.00,"-31,522.89"
07-Dec-10,Sale,BEXIMCO,A,100,327.20,"32,720.00",163.60,0.00,"32,556.40","1,033.51"
09-Dec-10,Buy,CONFIDCEM,A,60,318.30,"19,098.00",95.49,"19,193.49",0.00,"-18,159.98"
09-Dec-10,Buy,NCCBANK,A,250,72.80,"18,200.00",91.00,"18,291.00",0.00,"-36,450.98"
12-Dec-10,Receive,CH-#-000,,0,0.00,0.00,0.00,0.00,"37,000.00",549.02
26-Dec-10,Sale,STANDBANKL,A,50,615.00,"30,750.00",153.75,0.00,"30,596.25","31,145.27"
29-Dec-10,Buy,PHENIXINS,A,20,"1,474.25","29,485.00",147.43,"29,632.43",0.00,"1,512.85"
16-Jan-11,Buy,BEXTEX,A,400,70.00,"28,000.00",140.00,"28,140.00",0.00,"-26,627.15"
17-Jan-11,Receive,CH-#-000,,0,0.00,0.00,0.00,0.00,"30,000.00","3,372.85"
26-Jan-11,Sale,BEXTEX,A,200,71.00,"14,200.00",71.00,0.00,"14,129.00","17,501.85"
27-Jan-11,Sale,BEXTEX,A,200,70.00,"14,000.00",70.00,0.00,"13,930.00","31,431.85"
31-Jan-11,Payment,CH-#-3886281,,0,0.00,0.00,0.00,"30,000.00",0.00,"1,431.85"
08-Feb-11,Buy,GP,A,200,214.70,"42,940.00",214.70,"43,154.70",0.00,"-41,722.85"
08-Feb-11,Receive,CH-#-000,,0,0.00,0.00,0.00,0.00,"9,000.00","-32,722.85"
23-Feb-11,Sale,GP,A,200,175.00,"35,000.00",175.00,0.00,"34,825.00","2,102.15"
24-Feb-11,Buy,DHAKABANK,A,100,60.50,"6,050.00",30.25,"6,080.25",0.00,"-3,978.10"
06-Mar-11,Buy,PREMIERBAN,A,250,45.10,"11,275.00",56.38,"11,331.38",0.00,"-15,309.48"
06-Mar-11,Receive,CH-#-000,,0,0.00,0.00,0.00,0.00,"12,000.00","-3,309.48"
10-Mar-11,Sale,PREMIERBAN,A,750,59.50,"44,625.00",223.13,0.00,"44,401.88","41,092.40"
21-Mar-11,Buy,PHENIXINS,A,200,119.60,"23,920.00",119.60,"24,039.60",0.00,"17,052.80"
