"Transaction
Date","Transaction
Type",,,,,,,,,
16-Mar-15,Receive,CS-#-0,,0,0.00,0.00,0.00,0.00,100.00,100.00
25-Mar-15,Addition,ACCOUNT UPDATE FEE,,0,0.00,0.00,0.00,100.00,0.00,0.00
21-Jun-15,IPO,OAL,,500,0.00,0.00,0.00,0.00,0.00,0.00
22-Jun-15,CDBL Charges,IPO- OAL,,500,0.00,0.00,0.00,25.00,0.00,-25.00
25-Jun-15,Sale,OAL,N,500,43.74,"21,870.00",218.70,0.00,"21,651.30","21,626.30"
28-Jun-15,Payment,CH-#-EFTN-152,,0,0.00,0.00,0.00,"21,000.00",0.00,626.30
09-Jul-15,Receive,CS-#-,,0,0.00,0.00,0.00,0.00,500.00,"1,126.30"
12-Jul-15,Addition,BO RENEWAL FEE,,0,0.00,0.00,0.00,500.00,0.00,626.30
02-Aug-15,Buy,KEYACOSMET,A,1550,19.60,"30,375.00",151.88,"30,526.88",0.00,"-29,900.58"
02-Aug-15,Receive,CH-#-DIRECT BANK DEPOSIT,,0,0.00,0.00,0.00,0.00,"30,000.00",99.43
13-Aug-15,Buy,KEYACOSMET,A,250,19.30,"4,825.00",24.13,"4,849.13",0.00,"-4,749.70"
13-Aug-15,Receive,CH-#-DIRECT BANK DEPOSIT,,0,0.00,0.00,0.00,0.00,"5,000.00",250.30
16-Aug-15,Buy,KEYACOSMET,A,250,19.20,"4,800.00",24.00,"4,824.00",0.00,"-4,573.70"
16-Aug-15,Receive,CH-#-DIRECT BANK DEPOSIT,,0,0.00,0.00,0.00,0.00,"10,000.00","5,426.30"
17-Aug-15,Addition,IPO CHARGE(KDSALTD),,0,0.00,0.00,0.00,5.00,0.00,"5,421.30"
17-Aug-15,Addition,IPO FEE-KDSALTD,,0,0.00,0.00,0.00,"5,000.00",0.00,421.30
18-Aug-15,Buy,KEYACOSMET,A,20,18.90,378.00,1.89,379.89,0.00,41.41
13-Sep-15,Addition,IPO WITHDRWAL CHARGE(KDSALTD),,0,0.00,0.00,0.00,5.00,0.00,36.41
13-Sep-15,Deduction,IPO REFUND-KDSALTD,,0,0.00,0.00,0.00,0.00,"5,000.00","5,036.41"
14-Sep-15,Buy,KEYACOSMET,A,280,17.70,"4,956.00",24.78,"4,980.78",0.00,55.63
14-Oct-15,Sale,KEYACOSMET,A,1350,15.00,"20,250.00",101.25,0.00,"20,148.75","20,204.38"
18-Oct-15,Buy,KEYACOSMET,A,1350,14.70,"19,845.00",99.23,"19,944.23",0.00,260.16
19-Oct-15,Buy,KEYACOSMET,A,15,14.50,217.50,1.09,218.59,0.00,41.57
21-Oct-15,Buy,LAFSURCEML,A,100,87.00,"8,700.00",43.50,"8,743.50",0.00,"-8,701.93"
21-Oct-15,Buy,UPGDCL,A,110,142.00,"15,620.00",78.10,"15,698.10",0.00,"-24,400.03"
21-Oct-15,Sale,KEYACOSMET,A,2365,14.50,"34,292.50",171.46,0.00,"34,121.04","9,721.01"
25-Oct-15,Buy,LAFSURCEML,A,100,87.00,"8,700.00",43.50,"8,743.50",0.00,977.51
26-Oct-15,Buy,LAFSURCEML,A,65,87.00,"5,655.00",28.28,"5,683.28",0.00,"-4,705.77"
26-Oct-15,Receive,CH-#-DIRECT BANK DEPOSIT,,0,0.00,0.00,0.00,0.00,"5,000.00",294.23
27-Oct-15,Buy,LAFSURCEML,A,60,83.00,"4,980.00",24.90,"5,004.90",0.00,"-4,710.67"
27-Oct-15,Receive,CH-#-CASH,,0,0.00,0.00,0.00,0.00,"5,000.00",289.33
29-Oct-15,Buy,UNITEDAIR,A,25,9.50,237.50,1.19,238.69,0.00,50.64
18-Nov-15,Buy,LAFSURCEML,A,120,82.10,"9,852.00",49.26,"9,901.26",0.00,"-9,850.62"
18-Nov-15,Receive,CH-#-DIRECT BANK DEPOSIT,,0,0.00,0.00,0.00,0.00,"10,000.00",149.38
23-Nov-15,Buy,GENNEXT,A,30,9.60,288.00,1.44,289.44,0.00,-140.06
23-Nov-15,Sale,UNITEDAIR,A,25,9.30,232.50,1.16,0.00,231.34,91.28
25-Nov-15,Buy,KEYACOSMET,A,690,14.47,"9,986.00",49.93,"10,035.93",0.00,"-9,944.65"
25-Nov-15,Receive,CH-#-DIRECT BANK DEPOSIT,,0,0.00,0.00,0.00,0.00,"10,000.00",55.35
01-Dec-15,Sale,GENNEXT,A,30,9.30,279.00,1.40,0.00,277.61,332.96
03-Dec-15,Buy,ACTIVEFINE,A,350,59.77,"20,920.00",104.60,"21,024.60",0.00,"-20,691.65"
03-Dec-15,Sale,KEYACOSMET,A,690,13.20,"9,108.00",45.54,0.00,"9,062.46","-11,629.19"
03-Dec-15,Sale,LAFSURCEML,A,145,82.60,"11,977.00",59.89,0.00,"11,917.12",287.93
09-Dec-15,Buy,KEYACOSMET,A,550,15.30,"8,416.80",42.08,"8,458.88",0.00,"-8,170.95"
09-Dec-15,Sale,LAFSURCEML,A,100,82.30,"8,230.00",41.15,0.00,"8,188.85",17.90
10-Dec-15,Buy,KEYACOSMET,A,550,14.90,"8,195.00",40.98,"8,235.98",0.00,"-8,218.08"
10-Dec-15,Sale,LAFSURCEML,A,100,82.40,"8,240.00",41.20,0.00,"8,198.80",-19.28
13-Dec-15,Buy,ACTIVEFINE,A,140,56.70,"7,938.00",39.69,"7,977.69",0.00,"-7,996.97"
13-Dec-15,Sale,LAFSURCEML,A,100,82.50,"8,250.00",41.25,0.00,"8,208.75",211.78
14-Dec-15,Buy,KEYACOSMET,A,14,14.80,207.20,1.04,208.24,0.00,3.54
24-Dec-15,Sale,ACTIVEFINE,A,90,57.00,"5,130.00",25.65,0.00,"5,104.35","5,107.89"
27-Dec-15,Buy,KEYACOSMET,A,346,14.50,"5,017.00",25.09,"5,042.09",0.00,65.81
13-Jan-16,Buy,KEYACOSMET,A,1350,12.90,"17,415.00",87.08,"17,502.08",0.00,"-17,436.27"
13-Jan-16,Sale,ACTIVEFINE,A,300,57.60,"17,280.00",86.40,0.00,"17,193.60",-242.67
14-Jan-16,Buy,KEYACOSMET,A,430,12.80,"5,504.00",27.52,"5,531.52",0.00,"-5,774.19"
14-Jan-16,Sale,ACTIVEFINE,A,100,56.70,"5,670.00",28.35,0.00,"5,641.65",-132.54
02-Feb-16,Buy,KEYACOSMET,A,10,12.40,124.00,0.62,124.62,0.00,-257.16
02-Feb-16,Buy,UPGDCL,A,110,161.00,"17,710.00",88.55,"17,798.55",0.00,"-18,055.71"
02-Feb-16,Sale,UPGDCL,A,110,161.32,"17,745.00",88.73,0.00,"17,656.28",-399.43
09-Feb-16,Sale,KEYACOSMET,A,550,12.10,"6,655.00",33.28,0.00,"6,621.73","6,222.29"
11-Feb-16,Buy,BSRMSTEEL,A,50,91.00,"4,550.00",22.75,"4,572.75",0.00,"1,649.54"
11-Feb-16,Sale,KEYACOSMET,A,700,12.30,"8,610.00",43.05,0.00,"8,566.95","10,216.50"
14-Feb-16,Buy,BSRMSTEEL,A,108,93.99,"10,151.20",50.76,"10,201.96",0.00,14.54
24-Feb-16,BONUS,KEYACOSMET,,292,0.00,0.00,0.00,0.00,0.00,14.54
25-Feb-16,CDBL Charges,CA- KEYACOSMET,,292,0.00,0.00,0.00,10.00,0.00,4.54
28-Feb-16,Buy,KEYACOSMET,A,445,11.80,"5,251.00",26.26,"5,277.26",0.00,"-5,272.72"
28-Feb-16,Sale,BSRMSTEEL,A,58,91.50,"5,307.00",26.54,0.00,"5,280.47",7.75
02-Mar-16,Buy,KEYACOSMET,A,400,11.30,"4,520.00",22.60,"4,542.60",0.00,"-4,534.85"
02-Mar-16,Sale,BSRMSTEEL,A,100,91.30,"9,130.00",45.65,0.00,"9,084.35","4,549.50"
03-Mar-16,Buy,KEYACOSMET,A,400,11.20,"4,480.00",22.40,"4,502.40",0.00,47.10
16-Mar-16,Sale,KEYACOSMET,A,1537,13.20,"20,288.40",101.44,0.00,"20,186.96","20,234.06"
21-Mar-16,Sale,KEYACOSMET,A,1000,15.00,"15,000.00",75.00,0.00,"14,925.00","35,159.06"
22-Mar-16,Sale,KEYACOSMET,A,1000,15.00,"15,000.00",75.00,0.00,"14,925.00","50,084.06"
23-Mar-16,Payment,ET-#-EFTN-309,,0,0.00,0.00,0.00,"50,000.00",0.00,84.06
17-Apr-16,Addition,IPO APPLY CHARGE(ACMELAB),,0,0.00,0.00,0.00,5.00,0.00,79.06
17-Apr-16,Addition,IPO FEE-(ACMELAB),,0,0.00,0.00,0.00,"7,700.00",0.00,"-7,620.94"
17-Apr-16,Receive,CH-#-DIRECT BANK DEPOSIT,,0,0.00,0.00,0.00,0.00,"7,700.00",79.06
10-May-16,Addition,IPO APPLY CHARGE(ETL),,0,0.00,0.00,0.00,5.00,0.00,74.06
10-May-16,Addition,IPO FEE-(ETL),,0,0.00,0.00,0.00,"5,000.00",0.00,"-4,925.94"
10-May-16,Receive,CS-#-0,,0,0.00,0.00,0.00,0.00,"5,000.00",74.06
18-May-16,Addition,IPO RETURN CHARGE(ACMELAB),,0,0.00,0.00,0.00,5.00,0.00,69.06
18-May-16,Deduction,IPO FEE REFUND(ACMELAB),,0,0.00,0.00,0.00,0.00,"7,700.00","7,769.06"
18-May-16,Payment,ET-#-EFTN-291,,0,0.00,0.00,0.00,"7,700.00",0.00,69.06
06-Jun-16,Addition,IPO RETURN CHARGE(ETL),,0,0.00,0.00,0.00,5.00,0.00,64.06
06-Jun-16,Deduction,IPO FEE REFUND(ETL),,0,0.00,0.00,0.00,0.00,"5,000.00","5,064.06"
07-Jun-16,Payment,ET-#-EFTN-386,,0,0.00,0.00,0.00,"4,500.00",0.00,564.06
16-Jun-16,Buy,UNITEDAIR,A,450,6.50,"2,925.00",14.63,"2,939.63",0.00,"-2,375.57"
16-Jun-16,Receive,CH-#-DIRECT BANK DEPOSIT,,0,0.00,0.00,0.00,0.00,"5,100.00","2,724.43"
19-Jun-16,Buy,UNITEDAIR,A,335,6.50,"2,177.50",10.89,"2,188.39",0.00,536.04
18-Jul-16,Addition,IPO APPLY CHARGE(YPL),,0,0.00,0.00,0.00,5.00,0.00,531.04
18-Jul-16,Addition,IPO FEE-(YPL),,0,0.00,0.00,0.00,"5,000.00",0.00,"-4,468.96"
18-Jul-16,Receive,CS-#-0,,0,0.00,0.00,0.00,0.00,"5,000.00",531.04
21-Jul-16,Sale,UNITEDAIR,A,785,6.20,"4,867.00",24.34,0.00,"4,842.67","5,373.71"
24-Jul-16,Payment,ET-#-EFTN-56,,0,0.00,0.00,0.00,"4,800.00",0.00,573.71
25-Jul-16,Addition,BO RENEWAL FEE (2016-17),,0,0.00,0.00,0.00,500.00,0.00,73.71
26-Jul-16,Buy,UNITEDAIR,A,10,6.00,60.00,0.30,60.30,0.00,13.41
07-Aug-16,Sale,UNITEDAIR,A,10,5.70,57.00,0.29,0.00,56.72,70.12
14-Aug-16,Sale,UPGDCL,A,110,144.00,"15,840.00",79.20,0.00,"15,760.80","15,830.92"
16-Aug-16,Addition,IPO RETURN CHARGE(YPL),,0,0.00,0.00,0.00,5.00,0.00,"15,825.92"
16-Aug-16,Buy,KPPL,Z,1000,9.60,"9,600.00",48.00,"9,648.00",0.00,"6,177.92"
16-Aug-16,Deduction,IPO FEE REFUND(YPL),,0,0.00,0.00,0.00,0.00,"5,000.00","11,177.92"
16-Aug-16,Payment,ET-#-EFTN-9,,0,0.00,0.00,0.00,"5,000.00",0.00,"6,177.92"
17-Aug-16,Buy,KPPL,Z,640,9.50,"6,080.00",30.40,"6,110.40",0.00,67.52
18-Aug-16,Buy,KPPL,Z,5,9.30,46.50,0.23,46.73,0.00,20.79
20-Nov-16,Sale,KPPL,Z,1645,7.00,"11,515.00",57.58,0.00,"11,457.43","11,478.22"
21-Nov-16,Buy,YPL,N,400,28.00,"11,200.00",56.00,"11,256.00",0.00,222.22
24-Nov-16,Buy,YPL,N,8,27.40,219.20,1.10,220.30,0.00,1.92
30-Nov-16,Sale,YPL,N,408,29.90,"12,199.20",61.00,0.00,"12,138.20","12,140.12"
01-Dec-16,Buy,YPL,N,389,31.00,"12,059.00",60.30,"12,119.30",0.00,20.83
05-Dec-16,Receive,CS-#-0,,0,0.00,0.00,0.00,0.00,"5,000.00","5,020.83"
06-Dec-16,Buy,YPL,N,165,29.90,"4,933.50",24.67,"4,958.17",0.00,62.66
Total:,"3,070.04","417,485.47","417,548.14",Closing Blance (TK.): ,62.66,,,,,
Printed On: 08-Dec-2016  3:49:03PM,Page -1 of 1,,,,,,,,,
