,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Apex Investments Limited.,,,,,,,,,,,,CLIENT ACCOUNT STATUS-MARGIN,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"06, Gulshan Avenue, Block SW(H),
Gulshan -1, Dhaka-1212",,,,,,,,,,,,,,,,,,,,Tranding Date: 6-Apr-16,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investor Code,,,,,,Matured Balance,,Loan Amount,,,Margin Sec. Value,, All Sec. Value,,Marginable Equity,Approved Margin,,,All Equiry,,Purchase Power,,,Withdraw Power,,,Debt to Equity Ratio,,,,
,,,Branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000H1,,Head Office,,,"24,158.40",,,"24,158.40",,,"7,550,763.20",,"9,545,763.20",,"7,573,037.88","3,029,215.15",,,"9,568,037.88",,,"3,053,373.55",,,,"3,809,677.34",,,"24,158.40",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000H2,,Head Office,,,"-3,261,003.34",,,"-3,261,003.34",,,"21,956,610.20",,"21,956,610.20",,"18,693,632.79","5,000,000.00",,,"18,693,632.79",,,"1,738,996.66",,,,"868,498.33",,,673.31,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00h15,,Head Office,,,"-369,589.54",,,"-369,589.54",,,"322,322.20",,"322,322.20",,"-102,802.32","-41,120.93",,,"-102,802.32",,,"-410,710.47",,,,"-206,355.24",,,87.21,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00H22,,Head Office,,,"-379,541.78",,,"-379,541.78",,,"602,971.80",,"602,971.80",,"222,563.74","55,640.94",,,"222,563.74",,,"-323,900.84",,,,"-162,950.42",,,158.87,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00H28,,Head Office,,,"-81,603.71",,,"-81,603.71",,,0.00,,"262,200.00",,"-81,789.82","-20,633.57",,,"180,410.18",,,"-102,237.28",,,,"-103,237.28",,,0.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total :,,,,,,"-4,067,579.97",,,"-4,067,579.97",,"30,432,667.40",,"21,956,610.20",,"26,304,642.27",,"8,023,101.59",,,"28,561,842.27",,"3,955,521.62",,,,"4,205,632.73",,,"25,077.79",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
