,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Apex Investments Limited.,,,,,,,,,,,,CLIENT ACCOUNT STATUS-MARGIN,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"06, Gulshan Avenue, Block SW(H),
Gulshan -1, Dhaka-1212",,,,,,,,,,,,,,,,,,,,Tranding Date: 13-Jul-16,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investor Code,,,,,,Matured Balance,,Loan Amount,,,Margin Sec. Value,, All Sec. Value,,Marginable Equity,Approved Margin,,,All Equiry,,Purchase Power,,,Withdraw Power,,,Debt to Equity Ratio,,,,
,,,Branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000H1,,Head Office,,,"-2,899,360.05",,,"-2,899,360.05",,,"12,167,228.40",,"12,167,228.40",,"9,253,371.55","3,701,348.62",,,"9,253,371.55",,,"801,988.57",,,,"399,994.29",,,419.65,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000H2,,Head Office,,,"154,509.33",,,"154,509.33",,,"5,088,285.30",,"5,088,285.30",,"5,237,956.64","2,095,182.66",,,"5,237,956.64",,,"2,249,691.99",,,,"2,772,487.65",,,"154,509.33",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00h15,,Head Office,,,"-369,589.54",,,"-369,589.54",,,"271,532.60",,"271,532.60",,"-168,529.50","-67,411.80",,,"-168,529.50",,,"-437,001.34",,,,"-219,500.67",,,73.47,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00H28,,Head Office,,,"-85,213.95",,,"-85,213.95",,,0.00,,"273,600.00",,"-85,640.02","-21,836.08",,,"187,959.98",,,"-107,050.03",,,,"-108,050.03",,,0.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A119,,Motijheel,,,"-224,550.51",,,"-150,584.51",,,"587,664.00",,"587,664.00",,"435,960.24","174,384.10",,,"435,960.24",,,"23,799.59",,,,"10,899.80",,,261.71,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total :,,,,,,"-3,424,204.73",,,"-3,350,238.73",,"18,114,710.30",,"12,167,228.40",,"14,673,118.91",,"5,881,667.51",,,"14,946,718.91",,"2,531,428.78",,,,"2,855,831.04",,,"155,264.16",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
