,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Apex Investments Limited.,,,,,,,,,,,,CLIENT ACCOUNT STATUS-MARGIN,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"06, Gulshan Avenue, Block SW(H),
Gulshan -1, Dhaka-1212",,,,,,,,,,,,,,,,,,,,Tranding Date: 22-Nov-15,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investor Code,,,,,,Matured Balance,,Loan Amount,,,Margin Sec. Value,, All Sec. Value,,Marginable Equity,Approved Margin,,,All Equiry,,Purchase Power,,,Withdraw Power,,,Debt to Equity Ratio,,,,
,,,Branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000H1,,Head Office,,,"1,741.76",,,"1,741.76",,,"218,900.00",,"12,277,099.80",,"212,885.48","85,154.19",,,"12,271,085.28",,,"86,895.95",,,,"107,184.50",,,"1,741.76",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000H2,,Head Office,,,"-1,555,119.58",,,"-768,319.58",,,"5,437,953.20",,"5,646,253.00",,"4,659,456.44","1,863,782.58",,,"4,867,756.24",,,"1,095,463.00",,,,"546,731.50",,,349.68,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00h15,,Head Office,,,"-369,589.54",,,"-369,589.54",,,"301,625.20",,"301,625.20",,"-96,611.69","-38,644.68",,,"-96,611.69",,,"-408,234.22",,,,"-205,117.11",,,81.61,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00H22,,Head Office,,,"-344,533.14",,,"-344,533.14",,,"610,130.00",,"610,130.00",,"255,892.51","63,973.13",,,"255,892.51",,,"-280,560.01",,,,"-141,280.01",,,177.09,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00H28,,Head Office,,,"-95,865.22",,,"-95,865.22",,,"365,722.50",,"365,722.50",,"267,157.08","66,789.27",,,"267,157.08",,,"-29,075.95",,,,"-15,537.98",,,381.50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total :,,,,,,"-2,363,365.71",,,"-1,576,565.71",,"6,934,330.90",,"12,277,099.80",,"5,298,779.82",,"2,041,054.48",,,"17,565,279.42",,"464,488.77",,,,"291,980.90",,,"2,731.64",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
