Client A/C,Symbol,Side,OrderQty,OrdLimit,SubStatus,ExecQty,ExecPrice,ExecTime,ExecStat,OrdAvP,A/C CDS,ExecType,ExecID,TFOrderID
00H53,UNITEDAIR,Buy,581,4.4,Filled,581,4.4,14:29:56,Active,4.4,1.20202E+15,Trade,379954B,TAA36538
0H198,OAL,Buy,2000,16,Filled,21,16,14:25:48,Active,16,1.20202E+15,Trade,364071B,TAA51023
0H198,OAL,Buy,2000,16,Partially filled,100,16,14:23:53,Active,16,1.20202E+15,Trade,358500B,TAA51023
0H198,OAL,Buy,2000,16,Partially filled,91,16,14:23:42,Active,16,1.20202E+15,Trade,357970B,TAA51023
0H198,OAL,Buy,2000,16,Partially filled,170,16,14:23:41,Active,16,1.20202E+15,Trade,357908B,TAA51023
0H198,OAL,Buy,2000,16,Partially filled,30,16,14:18:21,Active,16,1.20202E+15,Trade,344810B,TAA51023
0H198,OAL,Buy,2000,16,Partially filled,1588,16,14:16:09,Active,16,1.20202E+15,Trade,340199B,TAA51023
0H852,DSHGARME,Buy,31,212,Filled,31,212,14:07:53,Active,212,1.20202E+15,Trade,323730B,TAA51880
0H198,AMCL(PRAN),Buy,100,225.1,Filled,100,225.1,13:59:49,Active,225.1,1.20202E+15,Trade,310725B,TAA43704
0H198,NAHEEACP,Sell,500,51.4,Filled,343,51.4,13:44:51,Active,51.4,1.20202E+15,Trade,287439S,TAA46689
0H198,NAHEEACP,Sell,500,51.4,Partially filled,157,51.4,13:44:39,Active,51.4,1.20202E+15,Trade,287163S,TAA46689
0H793,GHCL,Buy,100,38.2,Filled,100,38.2,13:36:59,Active,38.2,1.20202E+15,Trade,277066B,TAA45566
00H95,BARKAPOWER,Buy,200,29.9,Filled,200,29.9,13:32:58,Active,29.9,1.20202E+15,Trade,272621B,TAA35615
0H654,QUEENSOUTH,Sell,784,46.9,Filled,784,46.9,13:23:29,Active,46.9,1.20202E+15,Trade,263708S,TAA40333
0H862,ETL,Sell,1585,15.9,Filled,1585,15.9,13:19:30,Active,15.9,1.20202E+15,Trade,260582S,TAA40419
0H862,UNIONCAP,Sell,50,14.6,Filled,9,14.6,12:58:37,Active,14.6,1.20202E+15,Trade,239009S,TAA40476
0H862,UNIONCAP,Sell,50,14.6,Partially filled,41,14.6,12:58:37,Active,14.6,1.20202E+15,Trade,239008S,TAA40476
00H95,BARKAPOWER,Buy,21,30,Filled,21,30,12:57:38,Active,30,1.20202E+15,Trade,237817B,TAA35585
0H852,DSHGARME,Buy,21,213.2,Filled,21,213.2,12:42:28,Active,213.2,1.20202E+15,Trade,220066B,TAA37263
0H852,ABBANK,Buy,200,11.9,Filled,200,11.9,12:38:34,Active,11.9,1.20202E+15,Trade,216117B,TAA37372
0H793,JMISMDL,Sell,5,200,Filled,5,200.2,12:20:17,Active,200.2,1.20202E+15,Trade,195902S,TAA34417
00H95,SEMLLECMF,Sell,1000,7.5,Filled,1000,7.5,12:15:22,Active,7.5,1.20202E+15,Trade,189401S,TAA33549
00H95,SEMLLECMF,Sell,2000,7.5,Filled,2000,7.5,12:08:20,Active,7.5,1.20202E+15,Trade,180098S,TAA32249
00H95,SEMLLECMF,Sell,2000,7.3,Filled,2000,7.3,12:02:44,Active,7.3,1.20202E+15,Trade,173475S,TAA29655
00H95,SEMLLECMF,Sell,1000,7.2,Filled,1000,7.2,12:02:40,Active,7.2,1.20202E+15,Trade,173415S,TAA4610
0H198,NAHEEACP,Sell,500,51.4,Filled,500,51.4,11:59:47,Active,51.4,1.20202E+15,Trade,170005S,TAA23195
00H95,SEMLLECMF,Sell,500,7.1,Filled,500,7.1,11:54:20,Active,7.1,1.20202E+15,Trade,163677S,TAA3896
0H877,JMISMDL,Sell,20,199,Filled,20,199,11:44:26,Active,199,1.20202E+15,Trade,151779S,TAA28327
0H269,ADVENT,Buy,2971,41.5,Filled,525,41.5,11:30:44,Active,41.5,1.20202E+15,Trade,134398B,TAA25677
0H269,ADVENT,Buy,2971,41.5,Partially filled,500,41.5,11:30:43,Active,41.5,1.20202E+15,Trade,134375B,TAA25677
0H269,ADVENT,Buy,2971,41.5,Partially filled,1000,41.5,11:30:34,Active,41.5,1.20202E+15,Trade,134192B,TAA25677
0H269,ADVENT,Buy,2971,41.5,Partially filled,500,41.5,11:30:34,Active,41.5,1.20202E+15,Trade,134191B,TAA25677
0H269,ADVENT,Buy,2971,41.5,Partially filled,446,41.5,11:30:34,Active,41.5,1.20202E+15,Trade,134190B,TAA25677
0H793,JMISMDL,Sell,15,199,Filled,1,199,11:27:56,Active,199,1.20202E+15,Trade,130606S,TAA25094
0H793,JMISMDL,Sell,15,199,Partially filled,14,199,11:27:56,Active,199,1.20202E+15,Trade,130605S,TAA25094
0H198,EHL,Buy,203,48.4,Filled,203,48.4,11:26:57,Active,48.4,1.20202E+15,Trade,129421B,TAA24956
0H198,AAMRATECH,Sell,500,30.1,Filled,490,30.1,11:26:44,Active,30.1,1.20202E+15,Trade,129052S,TAA23661
0H198,AAMRATECH,Sell,500,30.1,Partially filled,5,30.1,11:23:19,Active,30.1,1.20202E+15,Trade,124466S,TAA23661
0H198,AAMRATECH,Sell,500,30.1,Partially filled,5,30.1,11:21:16,Active,30.1,1.20202E+15,Trade,121290S,TAA23661
0H877,WMSHIPYARD,Sell,150,29.5,Filled,150,29.5,11:21:15,Active,29.5,1.20202E+15,Trade,121256S,TAA4288
0H125,ALIF,Sell,100,12.6,Filled,100,12.6,11:18:37,Active,12.6,1.20202E+15,Trade,116378S,TAA23078
0H111,LANKABAFIN,Buy,70,30,Filled,70,30,11:17:40,Active,30,1.20202E+15,Trade,114680B,TAA22857
0H269,ONEBANKLTD,Sell,4500,21.6,Filled,4500,21.6,11:14:30,Active,21.6,1.20202E+15,Trade,108863S,TAA21983
0H588,BBSCABLES,Buy,500,74,Filled,500,74,11:13:13,Active,74,1.20202E+15,Trade,106279B,TAA20832
0H269,LANKABAFIN,Sell,154,29.9,Filled,154,29.9,11:10:24,Active,29.9,1.20202E+15,Trade,100663S,TAA10888
0H176,CVOPRL,Buy,426,222.4,Filled,225,222.4,11:01:41,Active,222.4,1.20202E+15,Trade,81544B,TAA17545
0H176,CVOPRL,Buy,426,222.4,Partially filled,201,222.4,11:01:41,Active,222.4,1.20202E+15,Trade,81543B,TAA17545
0H877,LEGACYFOOT,Sell,50,60,Filled,50,60,10:59:42,Active,60,1.20202E+15,Trade,77164S,TAA5932
0H269,BANKASIA,Sell,720,17.7,Filled,720,17.9,10:39:50,Active,17.9,1.20202E+15,Trade,37571S,TAA10964
0H269,GENNEXT,Sell,885,9.1,Filled,885,9.1,10:39:24,Active,9.1,1.20202E+15,Trade,36532S,TAA10800
